,Unnamed: 0,Unnamed: 0_x,name,id,Unnamed: 0_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,end_time,ms_played,artist_name
1025,1034,1034,Houdini,51mo1ybEABm0hxcp4ewM3n,990,0.549,0.522,1,-8.471,1,0.219,0.000286,6.32e-05,0.13,0.708,104.509,audio_features,spotify:track:51mo1ybEABm0hxcp4ewM3n,https://api.spotify.com/v1/tracks/51mo1ybEABm0hxcp4ewM3n,https://api.spotify.com/v1/audio-analysis/51mo1ybEABm0hxcp4ewM3n,168213,4,2023-11-17 08:43,40853,Dua Lipa
1026,1035,1035,Love Is Gone - Acoustic,7F1CiKqrY44kh5cDqwHOnx,991,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644,audio_features,spotify:track:7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/tracks/7F1CiKqrY44kh5cDqwHOnx,https://api.spotify.com/v1/audio-analysis/7F1CiKqrY44kh5cDqwHOnx,176972,4,2023-11-18 07:17,27097,SLANDER
1027,1036,1036,Mera Dil Bhi Kitna Pagal Hai - Recreated Version,2n9ylYiF7urpXo36qBwr3g,992,0.601,0.733,6,-5.987,0,0.0362,0.333,1.73e-06,0.406,0.375,94.017,audio_features,spotify:track:2n9ylYiF7urpXo36qBwr3g,https://api.spotify.com/v1/tracks/2n9ylYiF7urpXo36qBwr3g,https://api.spotify.com/v1/audio-analysis/2n9ylYiF7urpXo36qBwr3g,200828,4,2023-11-21 14:18,3859,Stebin Ben
1028,1037,1037,Sick Boy,58kZ9spgxmlEznXGu6FPdQ,993,0.663,0.577,11,-7.518,0,0.0531,0.109,0.0,0.12,0.454,89.996,audio_features,spotify:track:58kZ9spgxmlEznXGu6FPdQ,https://api.spotify.com/v1/tracks/58kZ9spgxmlEznXGu6FPdQ,https://api.spotify.com/v1/audio-analysis/58kZ9spgxmlEznXGu6FPdQ,193200,4,2024-03-11 03:41,3005100,The Chainsmokers
1029,1038,1038,"Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani"")",3NzV1WtIEQmOXq7HtqG3rr,994,0.803,0.673,0,-8.501,1,0.0774,0.0436,4.37e-06,0.124,0.498,132.023,audio_features,spotify:track:3NzV1WtIEQmOXq7HtqG3rr,https://api.spotify.com/v1/tracks/3NzV1WtIEQmOXq7HtqG3rr,https://api.spotify.com/v1/audio-analysis/3NzV1WtIEQmOXq7HtqG3rr,200568,4,2023-11-24 15:14,54908,Pritam
1030,1039,1039,Clownfish,2u3pksPjruXSxtpMfxjc6t,995,0.524,0.439,1,-9.147,1,0.405,0.298,0.0,0.0645,0.417,159.524,audio_features,spotify:track:2u3pksPjruXSxtpMfxjc6t,https://api.spotify.com/v1/tracks/2u3pksPjruXSxtpMfxjc6t,https://api.spotify.com/v1/audio-analysis/2u3pksPjruXSxtpMfxjc6t,122488,4,2023-12-30 14:04,232773,Hans Zimmer
1031,1040,1040,Bohemian Rhapsody - Piano Arrangement,1e82VOHWtsKP5sxfAAMHDL,996,0.282,0.403,10,-9.02,1,0.0371,0.927,0.907,0.11,0.203,75.934,audio_features,spotify:track:1e82VOHWtsKP5sxfAAMHDL,https://api.spotify.com/v1/tracks/1e82VOHWtsKP5sxfAAMHDL,https://api.spotify.com/v1/audio-analysis/1e82VOHWtsKP5sxfAAMHDL,343250,3,2023-11-24 18:33,5781,Costantino Carrara
1032,1041,1041,Portuguese Man of War,1mUG7ftwIxuq5fhMPkyM02,997,0.0777,0.363,5,-15.134,1,0.0487,0.246,0.845,0.129,0.0521,79.839,audio_features,spotify:track:1mUG7ftwIxuq5fhMPkyM02,https://api.spotify.com/v1/tracks/1mUG7ftwIxuq5fhMPkyM02,https://api.spotify.com/v1/audio-analysis/1mUG7ftwIxuq5fhMPkyM02,258149,4,2023-11-24 18:33,0,Jacob Shea
1033,1042,1042,Weedy Sea Dragon,1XxA468BOYiOsuCFGIF9wh,998,0.0792,0.0715,5,-26.401,1,0.0403,0.946,0.91,0.34,0.0373,74.805,audio_features,spotify:track:1XxA468BOYiOsuCFGIF9wh,https://api.spotify.com/v1/tracks/1XxA468BOYiOsuCFGIF9wh,https://api.spotify.com/v1/audio-analysis/1XxA468BOYiOsuCFGIF9wh,229253,4,2023-11-24 18:33,0,Hans Zimmer
1034,1043,1043,Baby Turtle,1fTpP8OYVCFp4uCzJZgchn,999,0.783,0.0729,4,-14.103,1,0.119,0.625,0.236,0.0962,0.314,114.126,audio_features,spotify:track:1fTpP8OYVCFp4uCzJZgchn,https://api.spotify.com/v1/tracks/1fTpP8OYVCFp4uCzJZgchn,https://api.spotify.com/v1/audio-analysis/1fTpP8OYVCFp4uCzJZgchn,56947,4,2023-11-24 18:33,0,Hans Zimmer
