,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
579,5XbDL9Otyn3C9vAY3awneT,0.479,0.267,4,-17.335,0,0.041,0.699,0.722,0.339,0.108,140.217,audio_features,spotify:track:5XbDL9Otyn3C9vAY3awneT,https://api.spotify.com/v1/tracks/5XbDL9Otyn3C9vAY3awneT,https://api.spotify.com/v1/audio-analysis/5XbDL9Otyn3C9vAY3awneT,152600,4
580,7uexhg3sdpy06utXeIe30G,0.432,0.137,2,-17.478,0,0.0294,0.97,0.937,0.0775,0.128,143.896,audio_features,spotify:track:7uexhg3sdpy06utXeIe30G,https://api.spotify.com/v1/tracks/7uexhg3sdpy06utXeIe30G,https://api.spotify.com/v1/audio-analysis/7uexhg3sdpy06utXeIe30G,298320,3
581,0oE6A9bCTnQsT5lXFJxVzb,0.489,0.0634,0,-23.046,1,0.0587,0.971,0.949,0.081,0.146,107.187,audio_features,spotify:track:0oE6A9bCTnQsT5lXFJxVzb,https://api.spotify.com/v1/tracks/0oE6A9bCTnQsT5lXFJxVzb,https://api.spotify.com/v1/audio-analysis/0oE6A9bCTnQsT5lXFJxVzb,166623,4
582,1u0THw5xaGd7sYzJEh48Lt,0.27,0.195,1,-10.653,0,0.0797,0.931,0.00000973,0.0949,0.171,46.489,audio_features,spotify:track:1u0THw5xaGd7sYzJEh48Lt,https://api.spotify.com/v1/tracks/1u0THw5xaGd7sYzJEh48Lt,https://api.spotify.com/v1/audio-analysis/1u0THw5xaGd7sYzJEh48Lt,188639,4
583,6DjmA2skPpPhh5uRdUJfy8,0.68,0.375,2,-16.083,1,0.0353,0.62,0.181,0.092,0.0373,136.902,audio_features,spotify:track:6DjmA2skPpPhh5uRdUJfy8,https://api.spotify.com/v1/tracks/6DjmA2skPpPhh5uRdUJfy8,https://api.spotify.com/v1/audio-analysis/6DjmA2skPpPhh5uRdUJfy8,113538,4
584,5fDSSojNJ2EUQmMQCbUclT,0.0877,0.133,5,-21.052,1,0.039,0.955,0.915,0.111,0.0335,85.465,audio_features,spotify:track:5fDSSojNJ2EUQmMQCbUclT,https://api.spotify.com/v1/tracks/5fDSSojNJ2EUQmMQCbUclT,https://api.spotify.com/v1/audio-analysis/5fDSSojNJ2EUQmMQCbUclT,232907,4
585,4Bxci9sdUMAxx9EaHcbBTi,0.329,0.375,7,-16.113,0,0.0635,0.00239,0.905,0.137,0.0385,118.075,audio_features,spotify:track:4Bxci9sdUMAxx9EaHcbBTi,https://api.spotify.com/v1/tracks/4Bxci9sdUMAxx9EaHcbBTi,https://api.spotify.com/v1/audio-analysis/4Bxci9sdUMAxx9EaHcbBTi,214000,3
586,0LbuLWD6WeJIQc93zhKi2p,0.296,0.779,0,-8.214,1,0.059,0.125,0.941,0.375,0.051,94.876,audio_features,spotify:track:0LbuLWD6WeJIQc93zhKi2p,https://api.spotify.com/v1/tracks/0LbuLWD6WeJIQc93zhKi2p,https://api.spotify.com/v1/audio-analysis/0LbuLWD6WeJIQc93zhKi2p,260440,4
587,1zSKtBze2IReYU44W0lDzd,0.337,0.331,5,-10.16,1,0.0385,0.657,0,0.085,0.35,103.203,audio_features,spotify:track:1zSKtBze2IReYU44W0lDzd,https://api.spotify.com/v1/tracks/1zSKtBze2IReYU44W0lDzd,https://api.spotify.com/v1/audio-analysis/1zSKtBze2IReYU44W0lDzd,182613,5
588,19JkMAn06rflrcwkLa8SFH,0.434,0.314,4,-10.145,1,0.0618,0.0861,0.951,0.127,0.323,102.421,audio_features,spotify:track:19JkMAn06rflrcwkLa8SFH,https://api.spotify.com/v1/tracks/19JkMAn06rflrcwkLa8SFH,https://api.spotify.com/v1/audio-analysis/19JkMAn06rflrcwkLa8SFH,83077,4
589,3gQ5dJgLXy2vMY61PPKEIV,0.311,0.572,0,-12.888,1,0.0425,0.614,0.94,0.104,0.114,79.909,audio_features,spotify:track:3gQ5dJgLXy2vMY61PPKEIV,https://api.spotify.com/v1/tracks/3gQ5dJgLXy2vMY61PPKEIV,https://api.spotify.com/v1/audio-analysis/3gQ5dJgLXy2vMY61PPKEIV,139376,4
590,2lNTp6b8Yy0MH2QmfvbnsB,0.7,0.585,9,-7.862,0,0.0852,0.623,0.000183,0.0644,0.796,170.001,audio_features,spotify:track:2lNTp6b8Yy0MH2QmfvbnsB,https://api.spotify.com/v1/tracks/2lNTp6b8Yy0MH2QmfvbnsB,https://api.spotify.com/v1/audio-analysis/2lNTp6b8Yy0MH2QmfvbnsB,288500,4
